CANTON,ACCESIBILIDAD SIN EXCLUSION,ACCION CIUDADANA,ALIANZA DEMOCRATA CRISTIANA,DE LOS TRABAJADORES,FRENTE AMPLIO,INTEGRACION NACIONAL,LIBERACION NACIONAL,MOVIMIENTO LIBERTARIO,NUEVA GENERACION,RENOVACION COSTARRICENSE,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,UNIDAD SOCIAL CRISTIANA,VOTOS NULOS,VOTOS BLANCOS
JIMENEZ,37,2042,128,19,94,776,2105,72,81,46,748,1319,781,148,32
TURRIALBA,127,10185,461,71,337,3022,7631,292,186,267,2024,7507,5237,506,138
ALVARADO,33,1938,76,19,25,735,1562,59,96,57,705,925,964,134,32
OREAMUNO,100,7171,602,52,285,2779,5452,259,189,220,1815,2985,3770,396,60
EL GUARCO,90,6147,540,40,135,2549,5693,266,216,170,1530,2888,4107,280,77
HEREDIA,175,20130,220,130,566,5073,12235,701,693,360,2232,13913,12131,458,84
BARVA,37,7331,69,42,269,1925,4065,256,274,111,1174,4975,3922,143,21
SANTO DOMINGO,57,6906,82,35,167,2051,4732,223,239,201,760,4657,5344,211,36
SANTA BARBARA,50,4739,50,27,123,1702,3193,187,173,87,1115,4710,2782,146,18
SAN RAFAEL,67,7442,69,46,220,2064,4039,224,243,129,942,5238,4344,180,40
SAN ISIDRO,26,3393,34,27,87,1031,2268,119,103,65,348,1719,2339,83,21
BELEN,28,3841,23,14,120,999,2965,149,107,49,356,1575,3753,82,17
FLORES,20,3389,23,18,83,1094,2532,94,112,52,545,1806,2816,55,11
SAN PABLO,31,4689,38,24,115,1075,2676,124,132,66,508,3018,3692,103,16
SARAPIQUI,89,2589,74,38,146,2061,3075,333,131,116,812,8422,1582,319,87
LIBERIA,163,4384,74,51,178,2635,5346,216,159,185,1432,6902,3674,327,87
NICOYA,58,3347,83,41,248,2617,6603,232,116,126,1350,5775,4740,474,125
SANTA CRUZ,105,3319,64,54,143,3722,5625,211,87,120,1302,4622,3869,480,158
BAGACES,24,1401,17,17,83,785,1467,59,47,47,303,2470,1081,101,20
CARRILLO,54,1571,50,25,66,1365,3327,149,77,69,710,3576,2102,311,71
CA�AS,33,1557,28,17,75,1170,2331,80,47,69,423,3667,1307,176,31
ABANGARES,27,1156,65,12,51,985,1934,127,26,50,445,1920,1264,150,30
TILARAN,25,1936,21,11,30,661,2207,63,51,49,693,2522,1763,88,16
NANDAYURE,21,898,18,9,39,579,1330,106,48,47,326,1390,621,110,33
LA CRUZ,11,713,14,13,20,638,1617,44,22,38,142,2221,1096,116,39
HOJANCHA,7,807,4,5,9,496,1150,59,11,22,140,668,591,59,20
PUNTARENAS,157,6518,107,92,369,6470,8041,399,312,250,2815,15979,7030,671,145
ESPARZA,29,2140,39,19,105,1409,2985,114,84,47,1052,4470,2180,128,32
BUENOS AIRES,59,1530,61,36,194,2060,3110,236,144,169,764,5983,2112,305,80
MONTES DE ORO,19,1211,17,9,38,558,1054,54,43,36,224,2441,1018,79,16
OSA,44,1011,68,22,133,1396,1973,122,61,48,725,4532,1100,235,36
QUEPOS,56,1166,39,17,47,1287,1739,110,78,58,457,3948,1499,142,41
GOLFITO,80,1590,75,32,118,1601,2578,160,54,100,665,5681,1692,287,55
COTO BRUS,106,2060,82,38,96,1433,3524,236,71,83,667,5429,2446,281,79
PARRITA,19,572,14,16,32,625,1453,103,16,25,221,2718,1078,120,32
CORREDORES,70,1716,95,32,175,1728,3360,178,62,101,445,7499,1851,342,75
GARABITO,16,814,10,11,40,895,1463,93,22,37,167,1416,1061,67,12
LIMON,225,3277,274,97,266,4336,5553,357,162,335,1943,15704,3729,736,247
POCOCI,423,7438,317,200,381,6829,9586,884,267,382,1785,21662,4634,881,174
SIQUIRRES,141,2030,102,57,274,1737,4460,302,95,202,963,10253,1941,395,107
TALAMANCA,30,872,70,26,268,724,1614,78,38,92,1259,3662,1460,218,107
MATINA,56,731,76,35,94,771,2246,122,28,67,423,5839,1103,231,68
GUACIMO,114,1702,164,38,151,1413,3225,220,67,137,605,7590,1174,357,66
,,,,,,,,,,,,,,,
original,7533,464472,12622,4345,16783,205358,400754,21859,16297,12288,106401,537991,343597,22936,5090
corrida1,7576,464942,12748,4475,16773,205106,400384,21738,16344,12198,106401,537640,343905,22943,5153
corrida2,7580,463150,12798,4301,16940,205782,400639,21905,16314,12432,106379,537816,343912,23310,5068
corrida3,7446,463154,12826,4454,16872,205482,400852,21600,16134,12175,106395,538582,344475,22835,5044
corrida4,7415,464000,12798,4403,16788,205593,400972,21567,16463,12420,106268,538205,343319,22948,5167
corrida5,7345,465226,12677,4289,16822,205631,400839,21868,16359,12364,105945,537603,343399,22884,5075
