Canton,Genero,Edad,Zona(Urbana/Rural),Dependiente,Casa en buen estado,Casa Hacinada,Alfabeta,Promedio de escolaridad,Asistencia a eduacion regular,En la fuerza de trabajo,Asegurado,Poblacion nacida en el extranjero,Discapacitado,Jefe de hogar,Poblacion Total(Canton),Superficie(Canton),Densidad(Canton),Viviendas ocupadas(Canton),Promedio de ocupantes por vivienda(Canton),Voto1R,Voto2R,Usado en entrenamiento,Prediccion1R,Prediccion2R,Prediccion2R1R
SARAPIQUI,F,31,RURAL,NO,NO,NO,SI,6.4,NO,NO,SI,SI,NO,HOMBRE,"57,147",2140.5,27,"15,768",3.6,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
CARTAGO,F,38,URBANA,NO,SI,NO,SI,9.8,SI,SI,SI,NO,SI,HOMBRE,"147,898",287.8,514,"38,618",3.8,ALIANZA DEMOCRATA CRISTIANA,ACCION CIUDADANA,SI,ALIANZA DEMOCRATA CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
PUNTARENAS,F,62,URBANA,NO,SI,SI,SI,6.4,SI,NO,SI,NO,NO,HOMBRE,"115,019",1842.3,62,"33,228",3.44,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,SI,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
ALAJUELA,F,50,RURAL,NO,SI,NO,NO,7.4,NO,NO,NO,NO,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
GOICOECHEA,F,45,URBANA,NO,SI,NO,SI,10.5,SI,SI,SI,NO,NO,MUJER,"115,084",31.5,3653,"32,520",3.53,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
SAN CARLOS,F,38,URBANA,NO,SI,NO,SI,7.6,NO,NO,SI,NO,NO,MUJER,"163,745",3348,49,"44,966",3.62,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
GOICOECHEA,F,58,URBANA,NO,SI,SI,SI,8.7,NO,NO,NO,SI,NO,MUJER,"115,084",31.5,3653,"32,520",3.53,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
PUNTARENAS,M,54,URBANA,NO,NO,NO,SI,6.4,NO,SI,SI,NO,NO,MUJER,"115,019",1842.3,62,"33,228",3.44,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
ESCAZU,F,31,URBANA,NO,SI,NO,SI,11.4,NO,SI,SI,NO,NO,HOMBRE,"56,509",34.5,1638,"16,565",3.4,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
PUNTARENAS,M,43,URBANA,NO,SI,NO,SI,8.3,NO,SI,SI,SI,NO,HOMBRE,"115,019",1842.3,62,"33,228",3.44,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
SAN CARLOS,F,58,URBANA,NO,NO,NO,SI,5.6,NO,NO,NO,NO,NO,HOMBRE,"163,745",3348,49,"44,966",3.62,INTEGRACION NACIONAL,ACCION CIUDADANA,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
LOS CHILES,F,83,RURAL,SI,NO,NO,SI,4.1,NO,NO,SI,NO,NO,MUJER,"23,735",1358.9,17,"6,035",3.93,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
MORAVIA,F,37,URBANA,NO,SI,SI,SI,11.7,NO,SI,SI,NO,NO,COMPARTIDO,"56,919",28.6,1989,"16,874",3.36,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
MONTES DE OCA,M,62,URBANA,NO,SI,NO,SI,11.2,NO,SI,SI,NO,SI,MUJER,"49,132",15.2,3241,"16,589",2.94,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
HEREDIA,F,98,URBANA,NO,SI,NO,SI,9.4,NO,NO,SI,NO,NO,MUJER,"123,616",282.6,437,"35,216",3.5,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
MORAVIA,F,45,URBANA,NO,SI,NO,SI,11.7,NO,SI,SI,NO,NO,MUJER,"56,919",28.6,1989,"16,874",3.36,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
ASERRI,F,49,RURAL,NO,SI,NO,SI,8.7,NO,NO,SI,NO,NO,HOMBRE,"57,892",167.1,346,"16,120",3.59,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
TURRIALBA,F,53,RURAL,NO,NO,NO,SI,6,NO,NO,SI,NO,NO,COMPARTIDO,"69,616",1642.7,42,"20,453",3.4,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
ALAJUELA,F,18,RURAL,NO,NO,NO,SI,9.4,SI,NO,SI,NO,SI,HOMBRE,"254,886",388.4,656,"72,031",3.49,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
MONTES DE OCA,M,50,URBANA,NO,SI,NO,SI,11.2,NO,SI,SI,NO,SI,HOMBRE,"49,132",15.2,3241,"16,589",2.94,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELA,M,50,URBANA,NO,SI,NO,SI,7.4,NO,NO,NO,NO,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
ATENAS,M,39,URBANA,NO,SI,NO,SI,9.4,NO,SI,SI,NO,NO,COMPARTIDO,"25,460",127.2,200,"7,472",3.41,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
QUEPOS,F,20,URBANA,NO,SI,NO,SI,7.8,NO,NO,SI,NO,NO,HOMBRE,"26,861",543.8,49,"8,094",3.32,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
LIBERIA,F,46,URBANA,NO,NO,NO,SI,9.4,NO,NO,SI,NO,NO,HOMBRE,"62,987",1436.5,44,"16,577",3.75,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
LIMON,M,63,URBANA,NO,SI,NO,SI,7,NO,SI,SI,NO,SI,COMPARTIDO,"94,415",1765.8,53,"26,666",3.52,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
CARTAGO,M,24,URBANA,NO,SI,NO,SI,9.8,NO,SI,SI,NO,NO,HOMBRE,"147,898",287.8,514,"38,618",3.8,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
GRECIA,M,31,RURAL,NO,NO,NO,SI,8.8,NO,SI,NO,NO,NO,HOMBRE,"76,898",395.7,194,"21,709",3.53,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
FLORES,F,20,URBANA,NO,NO,NO,SI,11.5,NO,SI,SI,NO,NO,MUJER,"20,037",7,2879,"5,751",3.48,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
PEREZ ZELEDON,M,25,URBANA,NO,SI,NO,SI,8.1,NO,SI,SI,NO,NO,MUJER,"134,534",1905.5,71,"38,508",3.48,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
OREAMUNO,F,47,RURAL,NO,SI,NO,SI,8.8,NO,NO,SI,NO,SI,HOMBRE,"45,473",201.3,226,"11,232",4.04,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
NARANJO,M,28,RURAL,NO,SI,NO,SI,8.5,NO,SI,SI,NO,NO,HOMBRE,"42,713",126.6,337,"11,678",3.65,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
TURRIALBA,F,42,URBANA,NO,SI,NO,SI,8.3,NO,SI,NO,NO,NO,COMPARTIDO,"69,616",1642.7,42,"20,453",3.4,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
LOS CHILES,M,102,RURAL,SI,SI,NO,SI,4.1,NO,NO,SI,NO,NO,MUJER,"23,735",1358.9,17,"6,035",3.93,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,SI,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,RESTAURACION NACIONAL
HEREDIA,M,54,URBANA,NO,SI,NO,SI,9.4,NO,NO,SI,NO,NO,MUJER,"123,616",282.6,437,"35,216",3.5,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
SAN PABLO,F,39,URBANA,NO,NO,NO,SI,12,NO,NO,SI,NO,NO,HOMBRE,"27,671",7.5,3675,"8,006",3.44,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
POCOCI,F,35,RURAL,NO,SI,NO,SI,7.6,NO,SI,SI,NO,NO,MUJER,"125,962",2403.5,52,"36,238",3.46,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
LIBERIA,M,63,RURAL,NO,SI,NO,SI,7.5,NO,SI,SI,NO,NO,HOMBRE,"62,987",1436.5,44,"16,577",3.75,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,SI,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
LIBERIA,M,103,URBANA,SI,SI,NO,SI,7.5,NO,SI,SI,NO,NO,MUJER,"62,987",1436.5,44,"16,577",3.75,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ACOSTA,F,60,RURAL,NO,SI,NO,SI,5,NO,NO,SI,NO,NO,HOMBRE,"20,209",342.2,59,"5,871",3.44,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELA,M,47,URBANA,NO,NO,NO,SI,9.4,NO,SI,SI,NO,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,SI,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,ACCION CIUDADANA
CARTAGO,F,26,URBANA,NO,SI,NO,SI,9.8,NO,SI,SI,NO,NO,HOMBRE,"147,898",287.8,514,"38,618",3.8,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
QUEPOS,M,59,URBANA,NO,NO,NO,SI,6.3,NO,NO,SI,NO,SI,HOMBRE,"26,861",543.8,49,"8,094",3.32,INTEGRACION NACIONAL,RESTAURACION NACIONAL,SI,INTEGRACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
POCOCI,F,40,URBANA,NO,SI,NO,SI,7.6,NO,NO,SI,NO,NO,HOMBRE,"125,962",2403.5,52,"36,238",3.46,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
COTO BRUS,M,36,RURAL,NO,SI,NO,SI,7.4,NO,NO,SI,NO,SI,COMPARTIDO,"38,453",933.9,41,"10,936",3.5,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN CARLOS,F,85,RURAL,NO,SI,NO,SI,5.6,NO,NO,SI,NO,NO,HOMBRE,"163,745",3348,49,"44,966",3.62,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
ESCAZU,F,23,URBANA,NO,NO,NO,SI,11.4,NO,SI,SI,NO,NO,MUJER,"56,509",34.5,1638,"16,565",3.4,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELA,F,72,URBANA,SI,NO,NO,SI,7.4,NO,NO,SI,SI,NO,MUJER,"254,886",388.4,656,"72,031",3.49,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN RAMON,F,25,RURAL,NO,SI,NO,NO,9,NO,NO,SI,NO,NO,MUJER,"80,566",1018.6,79,"23,301",3.44,INTEGRACION NACIONAL,ACCION CIUDADANA,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
PUNTARENAS,F,59,URBANA,NO,NO,NO,SI,6.4,NO,NO,SI,NO,NO,HOMBRE,"115,019",1842.3,62,"33,228",3.44,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
BUENOS AIRES,M,53,RURAL,NO,NO,NO,SI,4.4,NO,SI,SI,NO,NO,HOMBRE,"45,244",2384.2,19,"12,205",3.7,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
GUACIMO,M,49,RURAL,NO,SI,NO,SI,7,NO,SI,NO,NO,NO,HOMBRE,"41,266",576.5,72,"11,797",3.47,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
HEREDIA,F,62,URBANA,NO,SI,NO,SI,9.4,NO,SI,SI,NO,NO,COMPARTIDO,"123,616",282.6,437,"35,216",3.5,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
DESAMPARADOS,F,57,URBANA,NO,SI,NO,SI,7.7,NO,NO,SI,NO,NO,HOMBRE,"208,411",118.3,1762,"57,355",3.62,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
LA CRUZ,F,40,URBANA,NO,NO,NO,SI,7.1,NO,NO,SI,NO,SI,HOMBRE,"19,181",1383.9,14,"4,732",4.05,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,SI,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,RESTAURACION NACIONAL
SAN RAFAEL,F,41,URBANA,NO,SI,NO,SI,10.6,NO,NO,NO,NO,NO,COMPARTIDO,"45,965",48.4,950,"12,957",3.54,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
GRECIA,M,30,URBANA,NO,NO,NO,SI,8.8,NO,SI,SI,NO,NO,HOMBRE,"76,898",395.7,194,"21,709",3.53,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
COTO BRUS,F,39,URBANA,NO,NO,NO,SI,7.4,NO,NO,SI,NO,SI,HOMBRE,"38,453",933.9,41,"10,936",3.5,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
CORREDORES,F,57,RURAL,NO,NO,NO,SI,5.4,SI,NO,SI,SI,NO,COMPARTIDO,"41,831",620.6,67,"11,849",3.52,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
GRECIA,F,19,RURAL,NO,SI,NO,SI,8.8,SI,NO,SI,NO,NO,MUJER,"76,898",395.7,194,"21,709",3.53,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
LA UNION,M,63,URBANA,NO,SI,SI,SI,8,NO,SI,SI,NO,NO,MUJER,"99,399",44.8,2217,"26,979",3.67,INTEGRACION NACIONAL,ACCION CIUDADANA,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,F,29,URBANA,NO,NO,NO,SI,10.3,NO,SI,SI,NO,NO,HOMBRE,"288,054",44.6,6456,"81,903",3.5,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
OREAMUNO,F,32,URBANA,NO,SI,NO,SI,8.8,SI,NO,SI,NO,NO,HOMBRE,"45,473",201.3,226,"11,232",4.04,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,SI,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
SAN JOSE,F,18,URBANA,NO,SI,NO,SI,10.3,SI,NO,SI,NO,SI,HOMBRE,"288,054",44.6,6456,"81,903",3.5,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
SAN CARLOS,F,42,RURAL,NO,NO,NO,SI,7.6,NO,NO,NO,NO,NO,COMPARTIDO,"163,745",3348,49,"44,966",3.62,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
PEREZ ZELEDON,M,19,RURAL,NO,NO,NO,SI,8.1,SI,SI,SI,NO,NO,HOMBRE,"134,534",1905.5,71,"38,508",3.48,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
LIMON,M,52,URBANA,NO,NO,NO,SI,7,NO,SI,SI,NO,NO,HOMBRE,"94,415",1765.8,53,"26,666",3.52,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,SI,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,RESTAURACION NACIONAL
ALAJUELA,F,62,URBANA,NO,SI,NO,SI,7.4,NO,SI,SI,NO,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
LA UNION,F,32,URBANA,NO,SI,NO,SI,10.2,NO,NO,SI,NO,NO,HOMBRE,"99,399",44.8,2217,"26,979",3.67,RESTAURACION NACIONAL,NULO,SI,RESTAURACION NACIONAL,NULO,NULO
