Canton,Genero,Edad,Zona(Urbana/Rural),Dependiente,Casa en buen estado,Casa Hacinada,Alfabeta,Promedio de escolaridad,Asistencia a eduacion regular,En la fuerza de trabajo,Asegurado,Poblacion nacida en el extranjero,Discapacitado,Jefe de hogar,Poblacion Total(Canton),Superficie(Canton),Densidad(Canton),Viviendas ocupadas(Canton),Promedio de ocupantes por vivienda(Canton),Voto1R,Voto2R,Usado en entrenamiento,Prediccion1R,Prediccion2R,Prediccion2R1R
GOICOECHEA,F,52,URBANA,NO,SI,NO,SI,8.7,NO,SI,SI,NO,NO,HOMBRE,"115,084",31.5,3653,"32,520",3.53,LIBERACION NACIONAL,ACCION CIUDADANA,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
UPALA,F,79,RURAL,NO,NO,NO,SI,4.4,NO,NO,SI,NO,NO,MUJER,"43,953",1580.7,28,"11,518",3.81,LIBERACION NACIONAL,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
VAZQUEZ DE CORONADO,M,62,URBANA,NO,NO,NO,SI,8.4,NO,NO,SI,NO,NO,MUJER,"60,486",222.2,272,"17,155",3.52,LIBERACION NACIONAL,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,RESTAURACION NACIONAL
CORREDORES,M,48,RURAL,NO,NO,NO,SI,8.2,NO,SI,SI,NO,NO,HOMBRE,"41,831",620.6,67,"11,849",3.52,ACCION CIUDADANA,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
POCOCI,F,50,URBANA,NO,NO,NO,SI,5.4,NO,NO,SI,NO,NO,HOMBRE,"125,962",2403.5,52,"36,238",3.46,INTEGRACION NACIONAL,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
MONTES DE OCA,F,50,URBANA,NO,SI,NO,SI,11.2,NO,NO,SI,NO,NO,COMPARTIDO,"49,132",15.2,3241,"16,589",2.94,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
MONTES DE OCA,M,25,URBANA,NO,NO,NO,SI,12.9,SI,SI,SI,NO,NO,MUJER,"49,132",15.2,3241,"16,589",2.94,LIBERACION NACIONAL,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
POCOCI,M,59,RURAL,NO,SI,NO,SI,5.4,NO,SI,NO,NO,NO,HOMBRE,"125,962",2403.5,52,"36,238",3.46,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
LA UNION,F,39,URBANA,NO,NO,NO,SI,10.2,SI,NO,SI,NO,SI,HOMBRE,"99,399",44.8,2217,"26,979",3.67,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
POCOCI,F,31,RURAL,NO,SI,NO,SI,7.6,NO,NO,NO,NO,NO,HOMBRE,"125,962",2403.5,52,"36,238",3.46,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
DESAMPARADOS,M,25,URBANA,NO,NO,NO,SI,9.6,NO,SI,SI,NO,NO,HOMBRE,"208,411",118.3,1762,"57,355",3.62,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
DESAMPARADOS,M,46,URBANA,NO,SI,NO,SI,9.6,SI,SI,SI,NO,NO,HOMBRE,"208,411",118.3,1762,"57,355",3.62,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
CURRIDABAT,F,41,URBANA,NO,SI,NO,SI,11.3,NO,NO,SI,NO,NO,HOMBRE,"65,206",15.9,4088,"19,146",3.4,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
CANAS,F,52,URBANA,NO,NO,SI,SI,6.1,NO,SI,SI,NO,NO,HOMBRE,"26,201",682.2,38,"7,172",3.65,LIBERACION NACIONAL,ACCION CIUDADANA,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN CARLOS,M,24,URBANA,NO,SI,NO,SI,7.6,NO,SI,SI,NO,NO,HOMBRE,"163,745",3348,49,"44,966",3.62,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,M,57,URBANA,NO,SI,NO,SI,9.2,NO,SI,SI,NO,NO,COMPARTIDO,"288,054",44.6,6456,"81,903",3.5,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
PEREZ ZELEDON,M,34,URBANA,NO,SI,NO,SI,8.1,NO,NO,SI,NO,NO,HOMBRE,"134,534",1905.5,71,"38,508",3.48,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
DESAMPARADOS,F,26,URBANA,NO,SI,NO,SI,9.6,NO,SI,SI,NO,NO,HOMBRE,"208,411",118.3,1762,"57,355",3.62,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
VALVERDE VEGA,F,43,URBANA,NO,NO,NO,SI,8.2,NO,SI,SI,NO,NO,MUJER,"18,085",120.3,150,"5,054",3.57,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,INTEGRACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
ALAJUELITA,M,31,URBANA,NO,SI,NO,SI,8.7,NO,SI,SI,NO,NO,MUJER,"77,603",21.2,3666,"19,832",3.91,NULO,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
DESAMPARADOS,F,20,URBANA,NO,NO,NO,SI,9.6,NO,SI,SI,NO,NO,HOMBRE,"208,411",118.3,1762,"57,355",3.62,LIBERACION NACIONAL,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
COTO BRUS,M,32,RURAL,NO,SI,NO,SI,7.4,NO,SI,SI,NO,NO,HOMBRE,"38,453",933.9,41,"10,936",3.5,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
ATENAS,F,20,URBANA,NO,SI,NO,SI,9.4,NO,NO,SI,NO,NO,HOMBRE,"25,460",127.2,200,"7,472",3.41,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
SANTA CRUZ,F,103,RURAL,SI,SI,NO,SI,7.4,SI,SI,SI,NO,NO,MUJER,"55,104",1312.3,42,"16,645",3.31,ALIANZA DEMOCRATA CRISTIANA,ACCION CIUDADANA,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
LA UNION,F,60,URBANA,NO,SI,NO,SI,8,NO,SI,SI,NO,SI,HOMBRE,"99,399",44.8,2217,"26,979",3.67,LIBERACION NACIONAL,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
ABANGARES,M,24,RURAL,NO,SI,NO,SI,7.7,SI,NO,SI,NO,NO,COMPARTIDO,"18,039",675.8,27,"5,311",3.39,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,NO,LIBERACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
CURRIDABAT,M,79,URBANA,NO,SI,NO,SI,10.4,NO,NO,SI,NO,NO,HOMBRE,"65,206",15.9,4088,"19,146",3.4,LIBERACION NACIONAL,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
BUENOS AIRES,F,34,RURAL,NO,NO,NO,SI,6.7,NO,NO,SI,NO,NO,HOMBRE,"45,244",2384.2,19,"12,205",3.7,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
SAN CARLOS,F,33,RURAL,NO,SI,NO,SI,7.6,NO,NO,NO,SI,NO,HOMBRE,"163,745",3348,49,"44,966",3.62,ACCION CIUDADANA,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
DESAMPARADOS,F,42,URBANA,NO,SI,NO,SI,9.6,NO,NO,SI,NO,NO,HOMBRE,"208,411",118.3,1762,"57,355",3.62,ACCION CIUDADANA,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
ATENAS,F,78,URBANA,SI,SI,NO,SI,7.3,NO,SI,SI,NO,NO,HOMBRE,"25,460",127.2,200,"7,472",3.41,INTEGRACION NACIONAL,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
TIBAS,M,18,URBANA,NO,NO,NO,SI,11.1,SI,NO,NO,NO,NO,MUJER,"64,842",8.1,7956,"19,160",3.38,LIBERACION NACIONAL,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
HEREDIA,F,35,URBANA,NO,SI,NO,SI,11.2,SI,SI,SI,NO,NO,MUJER,"123,616",282.6,437,"35,216",3.5,ACCION CIUDADANA,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
OROTINA,F,58,RURAL,NO,NO,NO,SI,6.5,SI,NO,SI,NO,NO,HOMBRE,"20,341",141.9,143,"6,024",3.37,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
SAN RAMON,M,58,RURAL,NO,NO,NO,SI,6.9,NO,SI,SI,NO,NO,MUJER,"80,566",1018.6,79,"23,301",3.44,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELA,F,49,URBANA,NO,NO,NO,SI,9.4,NO,SI,SI,NO,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,ACCION CIUDADANA,ACCION CIUDADANA,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
HEREDIA,M,47,URBANA,NO,NO,NO,SI,11.2,NO,SI,SI,NO,SI,HOMBRE,"123,616",282.6,437,"35,216",3.5,ACCION CIUDADANA,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
LIMON,F,27,URBANA,NO,NO,NO,SI,8.7,NO,NO,SI,NO,NO,HOMBRE,"94,415",1765.8,53,"26,666",3.52,FRENTE AMPLIO,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,RESTAURACION NACIONAL,ACCION CIUDADANA
DESAMPARADOS,M,52,URBANA,NO,NO,NO,SI,7.7,NO,SI,SI,NO,NO,HOMBRE,"208,411",118.3,1762,"57,355",3.62,ACCION CIUDADANA,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
LA UNION,F,48,URBANA,NO,SI,NO,SI,10.2,NO,SI,SI,NO,NO,MUJER,"99,399",44.8,2217,"26,979",3.67,ACCION CIUDADANA,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
BELEN,M,51,URBANA,NO,SI,NO,SI,8.7,NO,SI,SI,SI,NO,HOMBRE,"21,633",12.1,1780,"6,011",3.59,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,NO,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELA,F,44,URBANA,NO,SI,NO,SI,9.4,NO,NO,SI,NO,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
MATINA,M,20,URBANA,NO,SI,SI,SI,6.7,SI,SI,SI,NO,NO,HOMBRE,"37,721",772.6,49,"10,410",3.59,INTEGRACION NACIONAL,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,RESTAURACION NACIONAL,ACCION CIUDADANA
OREAMUNO,F,34,URBANA,NO,SI,NO,SI,8.8,NO,SI,SI,NO,NO,HOMBRE,"45,473",201.3,226,"11,232",4.04,LIBERACION NACIONAL,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
OREAMUNO,M,25,URBANA,NO,SI,NO,SI,8.8,SI,NO,SI,NO,NO,MUJER,"45,473",201.3,226,"11,232",4.04,INTEGRACION NACIONAL,ACCION CIUDADANA,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN CARLOS,M,46,URBANA,NO,NO,NO,SI,7.6,NO,NO,SI,NO,NO,HOMBRE,"163,745",3348,49,"44,966",3.62,LIBERACION NACIONAL,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELA,M,51,URBANA,NO,SI,NO,SI,7.4,NO,NO,SI,SI,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,INTEGRACION NACIONAL,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ASERRI,F,57,URBANA,NO,NO,NO,SI,6.4,NO,NO,SI,NO,NO,HOMBRE,"57,892",167.1,346,"16,120",3.59,ACCION CIUDADANA,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELA,M,57,URBANA,NO,NO,NO,SI,7.4,NO,SI,SI,NO,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
PALMARES,M,63,RURAL,NO,NO,NO,SI,7.2,NO,SI,SI,NO,NO,HOMBRE,"34,716",38.1,912,"9,657",3.58,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
LIMON,F,63,URBANA,NO,SI,NO,SI,7,NO,SI,SI,NO,NO,MUJER,"94,415",1765.8,53,"26,666",3.52,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
BARVA,F,44,URBANA,NO,SI,NO,SI,10.9,NO,NO,SI,NO,NO,HOMBRE,"40,660",53.8,756,"11,291",3.59,ACCION CIUDADANA,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
TARRAZU,M,40,URBANA,NO,SI,NO,SI,7.5,NO,SI,SI,NO,NO,MUJER,"16,280",297.5,55,"4,551",3.58,RESTAURACION NACIONAL,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
COTO BRUS,M,79,RURAL,NO,SI,NO,SI,4.6,NO,SI,NO,NO,NO,HOMBRE,"38,453",933.9,41,"10,936",3.5,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
COTO BRUS,M,24,RURAL,NO,SI,SI,SI,7.4,NO,NO,SI,NO,NO,HOMBRE,"38,453",933.9,41,"10,936",3.5,LIBERACION NACIONAL,RESTAURACION NACIONAL,NO,LIBERACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
OREAMUNO,M,34,URBANA,NO,SI,NO,SI,8.8,NO,SI,SI,NO,NO,HOMBRE,"45,473",201.3,226,"11,232",4.04,ACCION CIUDADANA,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
BARVA,F,50,URBANA,NO,NO,NO,SI,8.8,NO,NO,SI,NO,NO,HOMBRE,"40,660",53.8,756,"11,291",3.59,INTEGRACION NACIONAL,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
PUNTARENAS,M,63,RURAL,NO,NO,NO,SI,6.4,NO,SI,NO,SI,NO,HOMBRE,"115,019",1842.3,62,"33,228",3.44,INTEGRACION NACIONAL,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
SAN JOSE,F,46,URBANA,NO,SI,NO,SI,10.3,NO,SI,SI,SI,NO,MUJER,"288,054",44.6,6456,"81,903",3.5,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
LA UNION,F,44,URBANA,NO,SI,NO,SI,10.2,NO,NO,SI,NO,NO,MUJER,"99,399",44.8,2217,"26,979",3.67,LIBERACION NACIONAL,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
MORA,M,61,RURAL,NO,NO,NO,SI,7.3,NO,NO,SI,NO,SI,HOMBRE,"26,294",162,162,"7,782",3.38,ACCION CIUDADANA,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELITA,F,33,URBANA,NO,NO,NO,SI,8.7,NO,SI,SI,NO,NO,HOMBRE,"77,603",21.2,3666,"19,832",3.91,NULO,ACCION CIUDADANA,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
DESAMPARADOS,F,30,URBANA,NO,SI,NO,SI,9.6,NO,NO,SI,NO,NO,HOMBRE,"208,411",118.3,1762,"57,355",3.62,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
HEREDIA,F,29,URBANA,NO,SI,NO,SI,11.2,NO,SI,SI,NO,SI,COMPARTIDO,"123,616",282.6,437,"35,216",3.5,RENOVACION COSTARRICENSE,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
LIBERIA,M,31,RURAL,NO,SI,NO,SI,9.4,NO,SI,SI,NO,NO,HOMBRE,"62,987",1436.5,44,"16,577",3.75,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
GOICOECHEA,M,25,URBANA,NO,NO,NO,SI,10.5,NO,SI,SI,NO,NO,MUJER,"115,084",31.5,3653,"32,520",3.53,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
OROTINA,F,63,RURAL,NO,NO,NO,SI,6.5,NO,SI,NO,NO,NO,HOMBRE,"20,341",141.9,143,"6,024",3.37,ACCION CIUDADANA,RESTAURACION NACIONAL,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SIQUIRRES,M,36,URBANA,NO,SI,NO,NO,7.2,NO,SI,SI,NO,NO,HOMBRE,"56,786",860.2,66,"16,206",3.49,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
LA UNION,M,56,URBANA,NO,SI,NO,SI,8,NO,SI,SI,NO,NO,HOMBRE,"99,399",44.8,2217,"26,979",3.67,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
PARAISO,M,59,RURAL,NO,SI,NO,SI,6,NO,SI,SI,NO,NO,HOMBRE,"57,743",411.9,140,"14,626",3.94,ACCION CIUDADANA,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
MORAVIA,F,23,URBANA,NO,SI,NO,SI,11.7,SI,NO,SI,NO,NO,HOMBRE,"56,919",28.6,1989,"16,874",3.36,ACCION CIUDADANA,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
PARAISO,F,31,URBANA,NO,NO,NO,SI,8.3,NO,SI,SI,NO,NO,HOMBRE,"57,743",411.9,140,"14,626",3.94,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
ASERRI,F,53,URBANA,NO,SI,NO,SI,6.4,NO,NO,NO,NO,NO,HOMBRE,"57,892",167.1,346,"16,120",3.59,LIBERACION NACIONAL,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
SAN CARLOS,F,48,RURAL,NO,SI,SI,SI,7.6,NO,NO,SI,NO,NO,HOMBRE,"163,745",3348,49,"44,966",3.62,LIBERACION NACIONAL,ACCION CIUDADANA,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,F,18,URBANA,NO,SI,NO,SI,10.3,NO,NO,SI,NO,NO,HOMBRE,"288,054",44.6,6456,"81,903",3.5,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
GOICOECHEA,F,61,URBANA,NO,SI,NO,SI,8.7,NO,SI,SI,NO,NO,HOMBRE,"115,084",31.5,3653,"32,520",3.53,ACCION CIUDADANA,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
NARANJO,M,48,URBANA,NO,SI,NO,SI,8.5,NO,SI,SI,NO,SI,HOMBRE,"42,713",126.6,337,"11,678",3.65,ACCION CIUDADANA,ACCION CIUDADANA,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SANTO DOMINGO,M,19,URBANA,NO,SI,NO,SI,11.2,NO,NO,SI,NO,NO,MUJER,"40,072",24.8,1613,"11,496",3.48,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
VAZQUEZ DE CORONADO,M,37,URBANA,NO,SI,NO,SI,10.8,NO,SI,SI,SI,NO,MUJER,"60,486",222.2,272,"17,155",3.52,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
SANTA CRUZ,M,54,RURAL,NO,SI,NO,SI,7.4,NO,SI,SI,SI,NO,MUJER,"55,104",1312.3,42,"16,645",3.31,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,NO,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SANTO DOMINGO,M,23,URBANA,NO,SI,NO,SI,11.2,NO,SI,NO,NO,NO,HOMBRE,"40,072",24.8,1613,"11,496",3.48,ACCION CIUDADANA,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
CORREDORES,F,62,RURAL,NO,NO,NO,SI,5.4,NO,NO,SI,NO,NO,MUJER,"41,831",620.6,67,"11,849",3.52,RESTAURACION NACIONAL,RESTAURACION NACIONAL,NO,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
ESCAZU,M,98,URBANA,SI,NO,NO,SI,10.1,SI,SI,SI,SI,NO,MUJER,"56,509",34.5,1638,"16,565",3.4,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,NO,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
CURRIDABAT,M,27,URBANA,NO,SI,NO,SI,11.3,NO,NO,SI,NO,NO,HOMBRE,"65,206",15.9,4088,"19,146",3.4,LIBERACION NACIONAL,ACCION CIUDADANA,NO,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
