Canton,Genero,Edad,Zona(Urbana/Rural),Dependiente,Casa en buen estado,Casa Hacinada,Alfabeta,Promedio de escolaridad,Asistencia a eduacion regular,En la fuerza de trabajo,Asegurado,Poblacion nacida en el extranjero,Discapacitado,Jefe de hogar,Poblacion Total(Canton),Superficie(Canton),Densidad(Canton),Viviendas ocupadas(Canton),Promedio de ocupantes por vivienda(Canton),Voto1R,Voto2R,Usado en entrenamiento,Prediccion1R,Prediccion2R,Prediccion2R1R
ALAJUELA,M,54,URBANA,NO,SI,NO,SI,7.4,NO,SI,NO,NO,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,F,36,URBANA,NO,SI,NO,SI,10.3,NO,SI,SI,SI,NO,MUJER,"288,054",44.6,6456,"81,903",3.5,LIBERACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
GOICOECHEA,M,34,URBANA,NO,SI,SI,SI,10.5,NO,SI,SI,NO,SI,HOMBRE,"115,084",31.5,3653,"32,520",3.53,ACCION CIUDADANA,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
PURISCAL,F,35,RURAL,NO,SI,NO,SI,9.2,NO,NO,SI,SI,NO,HOMBRE,"33,004",553.7,60,"9,787",3.36,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,LIBERACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
ALVARADO,M,42,URBANA,NO,NO,NO,SI,7.3,NO,SI,SI,NO,NO,HOMBRE,"14,312",81.1,177,"3,612",3.95,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,SI,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,ACCION CIUDADANA
CARTAGO,M,31,URBANA,NO,NO,NO,SI,9.8,NO,SI,NO,NO,NO,HOMBRE,"147,898",287.8,514,"38,618",3.8,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
CURRIDABAT,M,30,URBANA,NO,NO,NO,SI,11.3,NO,SI,SI,NO,NO,MUJER,"65,206",15.9,4088,"19,146",3.4,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
GOICOECHEA,M,35,URBANA,NO,SI,NO,SI,10.5,NO,SI,SI,NO,NO,HOMBRE,"115,084",31.5,3653,"32,520",3.53,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
MORA,M,21,URBANA,NO,SI,NO,SI,9.9,NO,SI,SI,NO,NO,MUJER,"26,294",162,162,"7,782",3.38,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,F,48,URBANA,NO,SI,NO,SI,10.3,NO,NO,SI,SI,NO,MUJER,"288,054",44.6,6456,"81,903",3.5,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
SAN PABLO,M,18,URBANA,NO,NO,NO,SI,12,NO,SI,NO,NO,SI,HOMBRE,"27,671",7.5,3675,"8,006",3.44,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELA,F,104,RURAL,NO,SI,NO,SI,7.4,NO,NO,SI,NO,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ACOSTA,M,29,RURAL,NO,NO,NO,SI,7.7,NO,SI,SI,NO,NO,HOMBRE,"20,209",342.2,59,"5,871",3.44,INTEGRACION NACIONAL,RESTAURACION NACIONAL,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
PARRITA,F,46,URBANA,NO,NO,NO,SI,7.3,SI,SI,SI,NO,NO,HOMBRE,"16,115",478.8,34,"4,833",3.32,INTEGRACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
SAN JOSE,F,24,URBANA,NO,SI,NO,SI,10.3,SI,NO,SI,NO,NO,MUJER,"288,054",44.6,6456,"81,903",3.5,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
ATENAS,F,20,RURAL,NO,SI,NO,SI,9.4,NO,NO,SI,NO,NO,MUJER,"25,460",127.2,200,"7,472",3.41,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
SIQUIRRES,F,18,RURAL,NO,NO,NO,SI,7.2,NO,SI,SI,NO,NO,HOMBRE,"56,786",860.2,66,"16,206",3.49,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
EL GUARCO,F,52,URBANA,NO,SI,NO,SI,6.5,NO,NO,NO,NO,NO,COMPARTIDO,"41,793",167.7,249,"10,831",3.83,LIBERACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
NARANJO,M,63,URBANA,NO,NO,SI,SI,6.1,NO,SI,SI,NO,SI,HOMBRE,"42,713",126.6,337,"11,678",3.65,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ESCAZU,M,20,URBANA,NO,SI,NO,SI,11.4,NO,SI,SI,NO,NO,HOMBRE,"56,509",34.5,1638,"16,565",3.4,NUEVA GENERACION,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELITA,F,21,URBANA,NO,NO,NO,SI,8.7,NO,NO,SI,SI,NO,HOMBRE,"77,603",21.2,3666,"19,832",3.91,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
TIBAS,F,38,URBANA,NO,SI,NO,SI,11.1,SI,NO,SI,NO,NO,HOMBRE,"64,842",8.1,7956,"19,160",3.38,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
GRECIA,F,29,URBANA,NO,SI,NO,SI,8.8,NO,NO,SI,SI,NO,HOMBRE,"76,898",395.7,194,"21,709",3.53,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
OREAMUNO,F,91,RURAL,NO,SI,NO,SI,6.7,NO,NO,SI,NO,SI,HOMBRE,"45,473",201.3,226,"11,232",4.04,ACCION CIUDADANA,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
NICOYA,F,20,RURAL,NO,SI,NO,SI,9,NO,NO,NO,NO,NO,HOMBRE,"50,825",1333.7,38,"15,038",3.38,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
DESAMPARADOS,M,94,URBANA,NO,SI,NO,NO,7.7,NO,NO,SI,NO,NO,MUJER,"208,411",118.3,1762,"57,355",3.62,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
ATENAS,M,63,RURAL,NO,NO,NO,SI,7.3,NO,SI,SI,NO,SI,HOMBRE,"25,460",127.2,200,"7,472",3.41,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,SI,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
LA UNION,F,54,URBANA,NO,SI,NO,SI,8,NO,NO,SI,NO,NO,HOMBRE,"99,399",44.8,2217,"26,979",3.67,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
OREAMUNO,F,33,URBANA,NO,SI,NO,SI,8.8,NO,NO,NO,NO,NO,HOMBRE,"45,473",201.3,226,"11,232",4.04,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,SI,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
SAN RAMON,F,63,URBANA,NO,SI,NO,SI,6.9,NO,NO,NO,NO,NO,COMPARTIDO,"80,566",1018.6,79,"23,301",3.44,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
COTO BRUS,M,61,URBANA,NO,SI,NO,SI,4.6,NO,SI,SI,NO,NO,HOMBRE,"38,453",933.9,41,"10,936",3.5,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN RAMON,M,62,RURAL,NO,SI,NO,SI,6.9,NO,SI,NO,NO,NO,MUJER,"80,566",1018.6,79,"23,301",3.44,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
PARAISO,F,44,RURAL,NO,NO,NO,SI,8.3,NO,NO,SI,NO,NO,HOMBRE,"57,743",411.9,140,"14,626",3.94,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
FLORES,F,26,URBANA,NO,SI,NO,SI,11.5,NO,SI,SI,NO,NO,HOMBRE,"20,037",7,2879,"5,751",3.48,ACCION CIUDADANA,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
DESAMPARADOS,F,52,URBANA,NO,SI,NO,SI,7.7,NO,NO,SI,SI,NO,COMPARTIDO,"208,411",118.3,1762,"57,355",3.62,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,RESTAURACION NACIONAL
SAN JOSE,M,28,URBANA,NO,SI,NO,SI,10.3,NO,NO,SI,NO,NO,HOMBRE,"288,054",44.6,6456,"81,903",3.5,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,RESTAURACION NACIONAL,ACCION CIUDADANA
DESAMPARADOS,F,33,URBANA,NO,SI,NO,SI,9.6,NO,NO,SI,NO,NO,HOMBRE,"208,411",118.3,1762,"57,355",3.62,INTEGRACION NACIONAL,RESTAURACION NACIONAL,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
LIMON,M,93,RURAL,NO,SI,NO,SI,7,NO,SI,SI,NO,NO,HOMBRE,"94,415",1765.8,53,"26,666",3.52,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
NICOYA,F,64,RURAL,NO,NO,NO,SI,6.7,NO,NO,SI,NO,NO,MUJER,"50,825",1333.7,38,"15,038",3.38,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ASERRI,M,36,URBANA,NO,SI,NO,SI,8.7,NO,NO,SI,NO,SI,HOMBRE,"57,892",167.1,346,"16,120",3.59,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
ESCAZU,M,27,URBANA,NO,SI,NO,SI,11.4,NO,SI,NO,NO,NO,HOMBRE,"56,509",34.5,1638,"16,565",3.4,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,RESTAURACION NACIONAL,ACCION CIUDADANA
MORAVIA,F,40,URBANA,NO,SI,NO,SI,11.7,NO,SI,SI,NO,NO,COMPARTIDO,"56,919",28.6,1989,"16,874",3.36,INTEGRACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
BUENOS AIRES,M,19,RURAL,NO,SI,NO,SI,6.7,SI,SI,SI,NO,NO,HOMBRE,"45,244",2384.2,19,"12,205",3.7,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
VAZQUEZ DE CORONADO,M,62,URBANA,NO,SI,NO,SI,8.4,NO,SI,SI,NO,NO,HOMBRE,"60,486",222.2,272,"17,155",3.52,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
UPALA,F,20,RURAL,NO,SI,NO,SI,7,NO,NO,SI,NO,NO,MUJER,"43,953",1580.7,28,"11,518",3.81,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
MORAVIA,M,61,URBANA,NO,SI,NO,SI,10.1,NO,SI,SI,NO,NO,HOMBRE,"56,919",28.6,1989,"16,874",3.36,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN RAMON,F,24,URBANA,NO,SI,NO,SI,9,SI,NO,SI,NO,NO,HOMBRE,"80,566",1018.6,79,"23,301",3.44,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
SAN CARLOS,F,54,URBANA,NO,SI,NO,SI,5.6,NO,SI,SI,NO,NO,HOMBRE,"163,745",3348,49,"44,966",3.62,LIBERACION NACIONAL,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
TIBAS,F,44,URBANA,NO,SI,NO,SI,11.1,NO,NO,SI,NO,NO,HOMBRE,"64,842",8.1,7956,"19,160",3.38,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
POCOCI,M,59,RURAL,NO,SI,NO,SI,5.4,NO,NO,SI,NO,NO,HOMBRE,"125,962",2403.5,52,"36,238",3.46,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
PUNTARENAS,M,19,URBANA,NO,SI,NO,SI,8.3,NO,SI,SI,NO,NO,MUJER,"115,019",1842.3,62,"33,228",3.44,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
EL GUARCO,F,37,URBANA,NO,SI,NO,SI,9.2,NO,NO,NO,NO,NO,COMPARTIDO,"41,793",167.7,249,"10,831",3.83,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
PURISCAL,F,68,RURAL,NO,NO,NO,SI,6,NO,NO,SI,NO,NO,HOMBRE,"33,004",553.7,60,"9,787",3.36,NUEVA GENERACION,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
NICOYA,M,102,RURAL,NO,NO,NO,SI,6.7,NO,SI,SI,NO,NO,HOMBRE,"50,825",1333.7,38,"15,038",3.38,INTEGRACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,F,20,URBANA,NO,SI,NO,SI,10.3,NO,SI,SI,NO,NO,HOMBRE,"288,054",44.6,6456,"81,903",3.5,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
CARTAGO,F,20,RURAL,NO,SI,NO,SI,9.8,SI,NO,SI,NO,NO,HOMBRE,"147,898",287.8,514,"38,618",3.8,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
UPALA,F,47,RURAL,NO,SI,NO,SI,7,NO,NO,NO,NO,NO,MUJER,"43,953",1580.7,28,"11,518",3.81,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
DESAMPARADOS,F,70,URBANA,NO,NO,NO,SI,7.7,NO,NO,SI,NO,SI,HOMBRE,"208,411",118.3,1762,"57,355",3.62,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
CORREDORES,M,44,RURAL,NO,NO,SI,SI,8.2,NO,SI,SI,NO,NO,MUJER,"41,831",620.6,67,"11,849",3.52,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
DESAMPARADOS,M,22,URBANA,NO,NO,NO,SI,9.6,NO,SI,SI,NO,NO,HOMBRE,"208,411",118.3,1762,"57,355",3.62,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
SANTO DOMINGO,M,59,URBANA,NO,NO,NO,SI,9.2,NO,SI,SI,NO,NO,MUJER,"40,072",24.8,1613,"11,496",3.48,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
PEREZ ZELEDON,F,22,URBANA,NO,SI,NO,SI,8.1,SI,NO,SI,NO,NO,MUJER,"134,534",1905.5,71,"38,508",3.48,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,F,53,URBANA,NO,NO,SI,SI,9.2,SI,SI,SI,NO,NO,HOMBRE,"288,054",44.6,6456,"81,903",3.5,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
CARTAGO,M,51,URBANA,NO,SI,NO,NO,7.6,NO,NO,SI,NO,NO,HOMBRE,"147,898",287.8,514,"38,618",3.8,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELA,F,24,URBANA,NO,SI,NO,SI,9.4,SI,NO,SI,SI,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,INTEGRACION NACIONAL,RESTAURACION NACIONAL,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
CURRIDABAT,F,28,URBANA,NO,SI,NO,SI,11.3,NO,NO,SI,NO,NO,HOMBRE,"65,206",15.9,4088,"19,146",3.4,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
EL GUARCO,M,38,RURAL,NO,SI,NO,SI,9.2,NO,SI,SI,NO,NO,HOMBRE,"41,793",167.7,249,"10,831",3.83,LIBERACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
CORREDORES,F,18,URBANA,NO,NO,NO,SI,8.2,SI,NO,SI,NO,NO,MUJER,"41,831",620.6,67,"11,849",3.52,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
MONTES DE OCA,F,18,URBANA,NO,SI,NO,SI,12.9,SI,SI,SI,NO,NO,COMPARTIDO,"49,132",15.2,3241,"16,589",2.94,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
CARRILLO,F,63,RURAL,NO,SI,NO,SI,7,NO,SI,SI,NO,NO,MUJER,"37,122",577.5,64,"10,141",3.65,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,M,60,URBANA,NO,SI,NO,SI,9.2,NO,SI,SI,NO,NO,MUJER,"288,054",44.6,6456,"81,903",3.5,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
VAZQUEZ DE CORONADO,F,101,URBANA,NO,SI,NO,SI,8.4,NO,SI,SI,NO,SI,HOMBRE,"60,486",222.2,272,"17,155",3.52,INTEGRACION NACIONAL,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
ACOSTA,F,46,RURAL,NO,SI,NO,SI,7.7,SI,NO,SI,NO,NO,HOMBRE,"20,209",342.2,59,"5,871",3.44,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN CARLOS,F,63,URBANA,NO,SI,NO,SI,5.6,NO,NO,SI,NO,SI,HOMBRE,"163,745",3348,49,"44,966",3.62,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,M,28,URBANA,NO,NO,NO,SI,10.3,SI,NO,NO,NO,NO,HOMBRE,"288,054",44.6,6456,"81,903",3.5,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
SAN RAMON,M,30,RURAL,NO,NO,NO,NO,9,SI,NO,SI,NO,NO,MUJER,"80,566",1018.6,79,"23,301",3.44,NULO,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,F,44,URBANA,NO,NO,NO,SI,10.3,NO,NO,SI,NO,NO,MUJER,"288,054",44.6,6456,"81,903",3.5,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
TURRIALBA,M,34,URBANA,NO,SI,NO,SI,8.3,NO,NO,SI,NO,NO,HOMBRE,"69,616",1642.7,42,"20,453",3.4,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
LA UNION,F,29,URBANA,NO,NO,NO,SI,10.2,NO,SI,SI,NO,NO,HOMBRE,"99,399",44.8,2217,"26,979",3.67,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ESCAZU,F,45,URBANA,NO,NO,NO,SI,11.4,NO,NO,NO,NO,SI,MUJER,"56,509",34.5,1638,"16,565",3.4,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
VALVERDE VEGA,M,28,RURAL,NO,NO,NO,SI,8.2,NO,NO,SI,NO,NO,COMPARTIDO,"18,085",120.3,150,"5,054",3.57,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN PABLO,F,47,URBANA,NO,NO,NO,SI,12,NO,NO,SI,NO,NO,COMPARTIDO,"27,671",7.5,3675,"8,006",3.44,RESTAURACION NACIONAL,BLANCO,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
MONTES DE OCA,M,19,URBANA,NO,NO,NO,SI,12.9,SI,NO,NO,NO,NO,HOMBRE,"49,132",15.2,3241,"16,589",2.94,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
