Canton,Genero,Edad,Zona(Urbana/Rural),Dependiente,Casa en buen estado,Casa Hacinada,Alfabeta,Promedio de escolaridad,Asistencia a eduacion regular,En la fuerza de trabajo,Asegurado,Poblacion nacida en el extranjero,Discapacitado,Jefe de hogar,Poblacion Total(Canton),Superficie(Canton),Densidad(Canton),Viviendas ocupadas(Canton),Promedio de ocupantes por vivienda(Canton),Voto1R,Voto2R,Usado en entrenamiento,Prediccion1R,Prediccion2R,Prediccion2R1R
LIMON,M,54,URBANA,NO,NO,NO,SI,7,NO,SI,SI,NO,NO,HOMBRE,"94,415",1765.8,53,"26,666",3.52,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
SAN RAFAEL,F,42,URBANA,NO,SI,NO,SI,10.6,SI,NO,SI,NO,NO,HOMBRE,"45,965",48.4,950,"12,957",3.54,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN CARLOS,M,45,RURAL,NO,NO,NO,SI,7.6,NO,SI,SI,SI,NO,MUJER,"163,745",3348,49,"44,966",3.62,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
MONTES DE OCA,F,28,URBANA,NO,SI,NO,SI,12.9,NO,NO,SI,NO,NO,HOMBRE,"49,132",15.2,3241,"16,589",2.94,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
POCOCI,M,37,URBANA,NO,SI,NO,SI,7.6,NO,SI,SI,NO,NO,HOMBRE,"125,962",2403.5,52,"36,238",3.46,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
BAGACES,M,59,RURAL,NO,NO,NO,SI,5.4,NO,SI,NO,NO,NO,MUJER,"19,536",1273.5,15,"5,615",3.48,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
CARTAGO,F,27,URBANA,NO,NO,NO,SI,9.8,NO,NO,SI,NO,NO,HOMBRE,"147,898",287.8,514,"38,618",3.8,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
PUNTARENAS,F,64,URBANA,NO,NO,NO,SI,6.4,NO,SI,SI,NO,NO,HOMBRE,"115,019",1842.3,62,"33,228",3.44,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
SAN PABLO,M,32,URBANA,NO,NO,NO,SI,12,NO,SI,SI,NO,NO,HOMBRE,"27,671",7.5,3675,"8,006",3.44,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
VAZQUEZ DE CORONADO,F,29,URBANA,NO,NO,NO,SI,10.8,NO,SI,SI,SI,NO,MUJER,"60,486",222.2,272,"17,155",3.52,INTEGRACION NACIONAL,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
UPALA,M,37,URBANA,NO,NO,NO,SI,7,NO,SI,SI,NO,NO,HOMBRE,"43,953",1580.7,28,"11,518",3.81,BLANCO,RESTAURACION NACIONAL,SI,BLANCO,RESTAURACION NACIONAL,RESTAURACION NACIONAL
PEREZ ZELEDON,F,47,URBANA,NO,NO,NO,SI,8.1,NO,SI,SI,NO,NO,HOMBRE,"134,534",1905.5,71,"38,508",3.48,ACCESIBILIDAD SIN EXCLUSION,ACCION CIUDADANA,SI,ACCESIBILIDAD SIN EXCLUSION,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,F,62,URBANA,NO,NO,NO,SI,9.2,NO,NO,SI,NO,NO,HOMBRE,"288,054",44.6,6456,"81,903",3.5,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
SAN JOSE,M,23,URBANA,NO,SI,NO,SI,10.3,NO,SI,SI,NO,NO,HOMBRE,"288,054",44.6,6456,"81,903",3.5,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
DESAMPARADOS,M,61,URBANA,NO,SI,NO,SI,7.7,NO,SI,SI,NO,NO,MUJER,"208,411",118.3,1762,"57,355",3.62,INTEGRACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
CARTAGO,M,23,URBANA,NO,SI,NO,SI,9.8,SI,SI,SI,NO,NO,HOMBRE,"147,898",287.8,514,"38,618",3.8,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
CANAS,M,64,URBANA,NO,SI,NO,SI,6.1,NO,NO,SI,NO,NO,MUJER,"26,201",682.2,38,"7,172",3.65,INTEGRACION NACIONAL,ACCION CIUDADANA,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
VAZQUEZ DE CORONADO,F,101,URBANA,NO,SI,NO,SI,8.4,SI,NO,SI,NO,NO,COMPARTIDO,"60,486",222.2,272,"17,155",3.52,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
OREAMUNO,F,57,URBANA,NO,SI,NO,SI,6.7,NO,NO,NO,NO,NO,HOMBRE,"45,473",201.3,226,"11,232",4.04,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
EL GUARCO,M,24,URBANA,NO,SI,NO,SI,9.2,NO,NO,SI,NO,NO,HOMBRE,"41,793",167.7,249,"10,831",3.83,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
GRECIA,M,54,URBANA,NO,NO,NO,SI,6.6,NO,NO,SI,NO,NO,HOMBRE,"76,898",395.7,194,"21,709",3.53,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
HEREDIA,M,31,URBANA,NO,SI,NO,SI,11.2,NO,SI,SI,SI,NO,HOMBRE,"123,616",282.6,437,"35,216",3.5,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
GOICOECHEA,M,21,URBANA,NO,NO,NO,SI,10.5,NO,NO,SI,SI,NO,MUJER,"115,084",31.5,3653,"32,520",3.53,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
TIBAS,F,35,URBANA,NO,NO,NO,SI,11.1,NO,NO,SI,NO,NO,MUJER,"64,842",8.1,7956,"19,160",3.38,LIBERACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
DESAMPARADOS,M,19,URBANA,NO,SI,NO,SI,9.6,SI,SI,SI,NO,NO,MUJER,"208,411",118.3,1762,"57,355",3.62,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,M,54,URBANA,NO,SI,NO,SI,9.2,NO,SI,SI,NO,NO,HOMBRE,"288,054",44.6,6456,"81,903",3.5,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
CARTAGO,F,54,URBANA,NO,SI,NO,SI,7.6,NO,NO,NO,NO,NO,HOMBRE,"147,898",287.8,514,"38,618",3.8,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
LIBERIA,M,55,RURAL,NO,SI,NO,SI,7.5,NO,SI,SI,NO,NO,HOMBRE,"62,987",1436.5,44,"16,577",3.75,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
PARRITA,F,34,URBANA,NO,NO,NO,SI,7.3,NO,NO,SI,NO,SI,HOMBRE,"16,115",478.8,34,"4,833",3.32,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
SANTA ANA,F,22,URBANA,NO,SI,NO,SI,11.2,NO,NO,NO,NO,SI,HOMBRE,"49,123",61.4,800,"14,235",3.43,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SARAPIQUI,F,30,RURAL,NO,SI,NO,SI,6.4,SI,NO,SI,NO,NO,HOMBRE,"57,147",2140.5,27,"15,768",3.6,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
GUACIMO,M,51,RURAL,NO,NO,NO,SI,5,NO,SI,SI,NO,NO,MUJER,"41,266",576.5,72,"11,797",3.47,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
GOLFITO,F,41,URBANA,NO,SI,NO,SI,7.8,SI,NO,SI,NO,NO,MUJER,"39,150",1754,22,"11,576",3.37,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
DESAMPARADOS,M,70,URBANA,NO,SI,NO,SI,7.7,NO,SI,SI,NO,NO,MUJER,"208,411",118.3,1762,"57,355",3.62,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELITA,F,27,URBANA,NO,SI,NO,SI,8.7,NO,SI,NO,NO,NO,HOMBRE,"77,603",21.2,3666,"19,832",3.91,INTEGRACION NACIONAL,ACCION CIUDADANA,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
BARVA,F,45,RURAL,NO,SI,NO,SI,10.9,NO,SI,NO,NO,NO,HOMBRE,"40,660",53.8,756,"11,291",3.59,INTEGRACION NACIONAL,ACCION CIUDADANA,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
QUEPOS,M,55,RURAL,NO,NO,NO,SI,6.3,NO,NO,SI,NO,NO,HOMBRE,"26,861",543.8,49,"8,094",3.32,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
PUNTARENAS,F,32,URBANA,NO,SI,SI,SI,8.3,SI,NO,SI,NO,NO,HOMBRE,"115,019",1842.3,62,"33,228",3.44,NULO,RESTAURACION NACIONAL,SI,NULO,RESTAURACION NACIONAL,RESTAURACION NACIONAL
SAN JOSE,F,25,URBANA,NO,SI,NO,SI,10.3,NO,NO,NO,NO,NO,HOMBRE,"288,054",44.6,6456,"81,903",3.5,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
OREAMUNO,M,103,URBANA,SI,NO,NO,SI,6.7,NO,SI,SI,NO,NO,HOMBRE,"45,473",201.3,226,"11,232",4.04,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,SI,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,ACCION CIUDADANA
MATINA,F,39,RURAL,NO,SI,NO,SI,6.7,NO,NO,SI,NO,NO,HOMBRE,"37,721",772.6,49,"10,410",3.59,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
GRECIA,F,31,URBANA,NO,SI,NO,SI,8.8,NO,SI,SI,NO,SI,HOMBRE,"76,898",395.7,194,"21,709",3.53,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ESCAZU,F,50,URBANA,NO,SI,NO,SI,10.1,NO,SI,NO,NO,NO,HOMBRE,"56,509",34.5,1638,"16,565",3.4,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
GOICOECHEA,F,26,URBANA,NO,SI,NO,SI,10.5,NO,SI,NO,NO,NO,MUJER,"115,084",31.5,3653,"32,520",3.53,INTEGRACION NACIONAL,ACCION CIUDADANA,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
GRECIA,M,52,RURAL,NO,NO,NO,SI,6.6,NO,NO,SI,NO,NO,HOMBRE,"76,898",395.7,194,"21,709",3.53,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,SI,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
CARTAGO,M,25,URBANA,NO,NO,NO,SI,9.8,NO,NO,SI,NO,SI,COMPARTIDO,"147,898",287.8,514,"38,618",3.8,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
OREAMUNO,F,61,URBANA,NO,SI,NO,SI,6.7,NO,SI,SI,NO,SI,HOMBRE,"45,473",201.3,226,"11,232",4.04,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN CARLOS,M,43,RURAL,NO,SI,NO,SI,7.6,NO,SI,SI,SI,NO,HOMBRE,"163,745",3348,49,"44,966",3.62,FRENTE AMPLIO,NULO,SI,FRENTE AMPLIO,NULO,NULO
TIBAS,F,25,URBANA,NO,SI,NO,SI,11.1,NO,SI,SI,NO,NO,MUJER,"64,842",8.1,7956,"19,160",3.38,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
ESCAZU,M,26,URBANA,NO,SI,NO,SI,11.4,NO,NO,SI,NO,SI,HOMBRE,"56,509",34.5,1638,"16,565",3.4,ACCESIBILIDAD SIN EXCLUSION,RESTAURACION NACIONAL,SI,ACCESIBILIDAD SIN EXCLUSION,ACCION CIUDADANA,ACCION CIUDADANA
BUENOS AIRES,F,62,RURAL,NO,NO,NO,SI,4.4,NO,NO,SI,NO,NO,HOMBRE,"45,244",2384.2,19,"12,205",3.7,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
SAN RAFAEL,F,19,URBANA,NO,SI,NO,SI,10.6,SI,NO,NO,NO,NO,HOMBRE,"45,965",48.4,950,"12,957",3.54,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
ASERRI,F,45,RURAL,NO,SI,NO,SI,8.7,NO,SI,SI,NO,NO,MUJER,"57,892",167.1,346,"16,120",3.59,ACCION CIUDADANA,RESTAURACION NACIONAL,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELA,M,52,URBANA,NO,SI,NO,SI,7.4,NO,SI,NO,NO,NO,HOMBRE,"254,886",388.4,656,"72,031",3.49,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN RAMON,M,98,URBANA,SI,NO,NO,SI,6.9,NO,SI,NO,SI,NO,HOMBRE,"80,566",1018.6,79,"23,301",3.44,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ESCAZU,M,63,URBANA,NO,SI,NO,SI,10.1,NO,SI,NO,NO,NO,HOMBRE,"56,509",34.5,1638,"16,565",3.4,LIBERACION NACIONAL,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
GUATUSO,M,42,RURAL,NO,SI,NO,SI,6.8,SI,NO,NO,NO,NO,MUJER,"15,508",758.3,20,"4,409",3.51,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
SANTA BARBARA,F,18,URBANA,NO,SI,NO,SI,9.6,SI,NO,SI,NO,NO,MUJER,"36,243",53.2,681,"10,107",3.58,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
GOICOECHEA,M,50,URBANA,NO,SI,NO,SI,8.7,NO,SI,SI,NO,NO,HOMBRE,"115,084",31.5,3653,"32,520",3.53,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
POAS,M,96,URBANA,NO,SI,NO,SI,5.9,NO,SI,SI,NO,NO,HOMBRE,"29,199",73.8,395,"7,906",3.69,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
PUNTARENAS,F,32,URBANA,NO,NO,NO,SI,8.3,NO,NO,SI,NO,NO,MUJER,"115,019",1842.3,62,"33,228",3.44,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
OSA,F,36,RURAL,NO,NO,NO,NO,7.5,SI,NO,SI,NO,NO,COMPARTIDO,"29,433",1930.2,15,"8,904",3.3,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
VAZQUEZ DE CORONADO,M,40,URBANA,NO,SI,NO,SI,10.8,NO,NO,SI,NO,NO,HOMBRE,"60,486",222.2,272,"17,155",3.52,ACCION CIUDADANA,ACCION CIUDADANA,SI,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
MORAVIA,F,40,URBANA,NO,SI,NO,SI,11.7,NO,SI,SI,NO,NO,MUJER,"56,919",28.6,1989,"16,874",3.36,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
CARTAGO,F,18,URBANA,NO,NO,NO,SI,9.8,NO,NO,SI,NO,NO,MUJER,"147,898",287.8,514,"38,618",3.8,RESTAURACION NACIONAL,RESTAURACION NACIONAL,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
PARRITA,M,35,URBANA,NO,NO,NO,SI,7.3,NO,SI,SI,NO,NO,HOMBRE,"16,115",478.8,34,"4,833",3.32,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
CARTAGO,F,39,URBANA,NO,NO,NO,SI,9.8,NO,SI,NO,NO,NO,HOMBRE,"147,898",287.8,514,"38,618",3.8,REPUBLICANO SOCIAL CRISTIANO,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
POAS,M,60,URBANA,NO,SI,NO,SI,5.9,NO,NO,SI,NO,NO,MUJER,"29,199",73.8,395,"7,906",3.69,INTEGRACION NACIONAL,NULO,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
COTO BRUS,F,41,RURAL,NO,NO,NO,SI,7.4,NO,SI,SI,SI,NO,HOMBRE,"38,453",933.9,41,"10,936",3.5,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,SI,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
HEREDIA,F,52,URBANA,NO,SI,NO,SI,9.4,NO,NO,NO,NO,NO,HOMBRE,"123,616",282.6,437,"35,216",3.5,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
PALMARES,F,61,URBANA,NO,SI,NO,SI,7.2,NO,NO,SI,NO,NO,MUJER,"34,716",38.1,912,"9,657",3.58,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,SI,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
COTO BRUS,M,33,RURAL,NO,SI,NO,SI,7.4,NO,SI,SI,NO,NO,HOMBRE,"38,453",933.9,41,"10,936",3.5,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
SARAPIQUI,M,30,URBANA,NO,NO,NO,SI,6.4,NO,SI,SI,NO,NO,HOMBRE,"57,147",2140.5,27,"15,768",3.6,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN RAFAEL,M,99,URBANA,NO,SI,SI,SI,8.3,NO,SI,SI,NO,NO,MUJER,"45,965",48.4,950,"12,957",3.54,INTEGRACION NACIONAL,RESTAURACION NACIONAL,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
MONTES DE OCA,F,38,URBANA,NO,NO,NO,SI,12.9,NO,NO,SI,NO,NO,MUJER,"49,132",15.2,3241,"16,589",2.94,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELA,M,63,URBANA,NO,SI,NO,SI,7.4,NO,SI,SI,NO,NO,MUJER,"254,886",388.4,656,"72,031",3.49,RESTAURACION NACIONAL,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
SAN JOSE,F,19,URBANA,NO,NO,NO,SI,10.3,NO,SI,SI,NO,NO,HOMBRE,"288,054",44.6,6456,"81,903",3.5,ACCION CIUDADANA,ACCION CIUDADANA,SI,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
CARTAGO,F,63,URBANA,NO,SI,NO,SI,7.6,NO,NO,NO,NO,NO,HOMBRE,"147,898",287.8,514,"38,618",3.8,LIBERACION NACIONAL,RESTAURACION NACIONAL,SI,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,ACCION CIUDADANA
POAS,F,28,RURAL,NO,SI,NO,SI,8.3,NO,NO,SI,NO,NO,MUJER,"29,199",73.8,395,"7,906",3.69,INTEGRACION NACIONAL,ACCION CIUDADANA,SI,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
ALAJUELA,M,22,RURAL,NO,NO,NO,SI,9.4,NO,NO,SI,NO,SI,HOMBRE,"254,886",388.4,656,"72,031",3.49,LIBERACION NACIONAL,ACCION CIUDADANA,SI,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
UPALA,F,45,RURAL,NO,SI,NO,SI,7,NO,NO,SI,NO,NO,HOMBRE,"43,953",1580.7,28,"11,518",3.81,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,SI,UNIDAD SOCIAL CRISTIANA,RESTAURACION NACIONAL,RESTAURACION NACIONAL
